Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Rural,INDIA,All religious communities,15-59,483942812,247900542,236042270,216697315,156551166,60146149,88346790,41275195,47071595,44285520,26335666,17949854,178898707,50074181,128824526,34229498,13421687,20807811
Rural,INDIA,All religious communities,60+,73293822,35997302,37296520,25141472,19062156,6079316,9355154,4848766,4506388,2624129,1656283,967846,38797196,12086380,26710816,1105773,371815,733958
Rural,INDIA,Hindu,Total,684093951,351423647,332670304,207832710,148237459,59595251,86597119,40215927,46381192,40161698,23636019,16525679,389664122,162970261,226693861,29401527,12206828,17194699
Rural,INDIA,Hindu,5-9,75229304,39208999,36020305,660177,367862,292315,856554,436805,419749,180600,97237,83363,73712573,38404332,35308241,566979,299936,267043
Rural,INDIA,Hindu,10-14,78270614,40869523,37401091,1980506,1167940,812566,3002066,1493343,1508723,818918,456659,362259,73288042,38208240,35079802,1489405,815502,673903
Rural,INDIA,Hindu,15-19,68004920,36272394,31732526,10790423,7313957,3476466,8924306,4779343,4144963,4565898,2856887,1709011,48290191,24179094,24111097,7934673,4487421,3447252
Rural,INDIA,Hindu,20-24,60309704,31249789,29059915,22466321,15900743,6565578,11990078,6095127,5894951,6785770,4240180,2545590,25853305,9253919,16599386,7384625,3636833,3747792
Rural,INDIA,Hindu,25-29,54572123,27624340,26947783,27001139,19343327,7657812,11362512,5356161,6006351,6149827,3672525,2477302,16208472,2924852,13283620,4046417,1366472,2679945
Rural,INDIA,Hindu,30-34,48192438,24119112,24073326,26095553,18539741,7555812,9940474,4324269,5616205,5094088,2893646,2200442,12156411,1255102,10901309,2327125,507570,1819555
Rural,INDIA,Hindu,35-39,46748373,23501182,23247191,26618881,18695003,7923878,9433410,3975523,5457887,4663858,2592210,2071648,10696082,830656,9865426,1765555,278769,1486786
Rural,INDIA,Hindu,40-49,73692727,37995885,35696842,43230334,30860285,12370049,14130554,5893457,8237097,6372557,3562102,2810455,16331839,1242143,15089696,2008882,304145,1704737
Rural,INDIA,Hindu,50-59,48591722,24596423,23995299,26853066,19478464,7374602,8622214,3612744,5009470,3212885,1820702,1392183,13116442,1505215,11611227,954045,186485,767560
Rural,INDIA,Hindu,60-69,38169883,18656445,19513438,15663265,11532299,4130966,5821412,2820183,3001229,1705560,1041285,664275,16685206,4303963,12381243,629218,200233,428985
Rural,INDIA,Hindu,70-79,17137392,8554587,8582805,4666355,3685322,981033,1755036,1016088,738948,389677,263421,126256,10716001,3853177,6862824,183724,74304,109420
Rural,INDIA,Hindu,80+,6589162,3137404,3451758,1155854,896622,259232,468915,270296,198619,111503,72014,39489,4964393,1970486,2993907,57909,23653,34256
Rural,INDIA,Hindu,Age not stated,2419286,1266610,1152676,650836,455894,194942,289588,142588,147000,110557,67151,43406,1478862,668128,810734,52970,25505,27465
Rural,INDIA,Hindu,15-59,400112007,205359125,194752882,183055717,130131520,52924197,74403548,34036624,40366924,36844883,21638252,15206631,142652742,41190981,101461761,26421322,10767695,15653627
Rural,INDIA,Hindu,60+,61896437,30348436,31548001,21485474,16114243,5371231,8045363,4106567,3938796,2206740,1376720,830020,32365600,10127626,22237974,870851,298190,572661
Rural,INDIA,Muslim,Total,103504739,52870001,50634738,23778782,19660488,4118294,10787196,6069202,4717994,5507116,3768640,1738476,68938761,27140311,41798450,6397050,2187999,4209051
Rural,INDIA,Muslim,5-9,13976403,7207530,6768873,101321,58712,42609,142239,73494,68745,37183,20544,16639,13732843,7075324,6657519,151235,79458,71777
Rural,INDIA,Muslim,10-14,13643255,7044386,6598869,352607,244195,108412,499972,277292,222680,175243,113807,61436,12790676,6522899,6267777,479204,262490,216714
Rural,INDIA,Muslim,15-19,11298400,5870436,5427964,1805681,1440135,365546,1432245,892240,540005,797402,574172,223230,8060474,3538061,4522413,1742423,877530,864893
Rural,INDIA,Muslim,20-24,9320924,4764687,4556237,3013421,2508599,504822,1648231,995758,652473,978291,698649,279642,4659272,1260330,3398942,1398440,540050,858390
Rural,INDIA,Muslim,25-29,7783051,3892129,3890922,3215776,2691425,524351,1422062,801143,620919,811746,555107,256639,3145213,399561,2745652,817035,186019,631016
Rural,INDIA,Muslim,30-34,6507530,3220159,3287371,2924570,2419603,504967,1179810,624059,555751,644246,424852,219394,2403150,176497,2226653,510457,70556,439901
Rural,INDIA,Muslim,35-39,6201346,3086711,3114635,2925861,2404529,521332,1099457,565847,533610,583364,378057,205307,2176028,116335,2059693,422434,40760,381674
Rural,INDIA,Muslim,40-49,9265802,4768850,4496952,4541237,3781005,760232,1579855,820382,759473,785405,519249,266156,3144710,167463,2977247,488333,46340,441993
Rural,INDIA,Muslim,50-59,5751712,2942781,2808931,2683893,2254061,429832,912390,486115,426275,393301,267022,126279,2155429,202605,1952824,217021,31919,185102
Rural,INDIA,Muslim,60-69,4286108,2157779,2128329,1559390,1303748,255642,602738,358961,243777,217997,155914,62083,2123980,495070,1628910,118583,33073,85510
Rural,INDIA,Muslim,70-79,1783497,908068,875429,455160,390045,65115,178575,118702,59873,52809,39904,12905,1149762,399321,750441,31840,11997,19843
Rural,INDIA,Muslim,80+,743313,360093,383220,130548,109742,20806,56267,35903,20364,17382,12499,4883,556498,214448,342050,12603,4406,8197
Rural,INDIA,Muslim,Age not stated,330717,173474,157243,69317,54689,14628,33355,19306,14049,12747,8864,3883,228045,99479,128566,7442,3401,4041
Rural,INDIA,Muslim,15-59,56128765,28545753,27583012,21110439,17499357,3611082,9274050,5185544,4088506,4993755,3417108,1576647,25744276,5860852,19883424,5596143,1793174,3802969
Rural,INDIA,Muslim,60+,6812918,3425940,3386978,2145098,1803535,341563,837580,513566,324014,288188,208317,79871,3830240,1108839,2721401,163026,49476,113550
Rural,INDIA,Christian,Total,16657065,8295745,8361320,5376480,3507247,1869233,2022743,896121,1126622,883515,445941,437574,9257842,3892377,5365465,1076273,407929,668344
Rural,INDIA,Christian,5-9,1714933,875491,839442,15658,8263,7395,37494,18694,18800,7285,3694,3591,1661781,848534,813247,25299,12930,12369
Rural,INDIA,Christian,10-14,1799107,916668,882439,46865,26437,20428,112737,56218,56519,24864,12755,12109,1639505,834013,805492,50034,25577,24457
Rural,INDIA,Christian,15-19,1600668,812101,788567,220686,131379,89307,222759,111596,111163,104757,56026,48731,1157223,569126,588097,253416,129652,123764
Rural,INDIA,Christian,20-24,1446637,711684,734953,502297,305557,196740,276560,129679,146881,159283,84004,75279,667780,276448,391332,283017,129608,153409
Rural,INDIA,Christian,25-29,1331015,650199,680816,679066,434188,244878,259018,115407,143611,144894,75025,69869,392931,100604,292327,167649,53863,113786
Rural,INDIA,Christian,30-34,1153940,565884,588056,672496,438421,234075,210103,86787,123316,107866,53136,54730,271341,40676,230665,94565,19358,75207
Rural,INDIA,Christian,35-39,1132974,549710,583264,694545,446685,247860,200653,77768,122885,97152,45161,51991,237776,25257,212519,69939,10137,59802
Rural,INDIA,Christian,40-49,1965881,972871,993010,1229121,803867,425254,325143,127401,197742,134838,63916,70922,411617,41603,370014,77958,11598,66360
Rural,INDIA,Christian,50-59,1372335,685312,687023,787120,537609,249511,206924,87511,119413,65288,32383,32905,378291,60192,318099,32185,7416,24769
Rural,INDIA,Christian,60-69,920135,449107,471028,375797,264042,111755,121611,57557,64054,28313,14812,13501,422727,127508,295219,16128,5451,10677
Rural,INDIA,Christian,70-79,440680,210151,230529,115103,84345,30758,36546,20399,16147,5807,3346,2461,289031,105407,183624,3872,1424,2448
Rural,INDIA,Christian,80+,192552,87202,105350,29447,21208,8239,9446,5366,4080,1624,895,729,153659,60628,93031,1293,501,792
Rural,INDIA,Christian,Age not stated,29278,15131,14147,8279,5246,3033,3749,1738,2011,1544,788,756,17250,8147,9103,918,414,504
Rural,INDIA,Christian,15-59,10003450,4947761,5055689,4785331,3097706,1687625,1701160,736149,965011,814078,409651,404427,3516959,1113906,2403053,978729,361632,617097
Rural,INDIA,Christian,60+,1553367,746460,806907,520347,369595,150752,167603,83322,84281,35744,19053,16691,865417,293543,571874,21293,7376,13917
Rural,INDIA,Sikh,Total,14930792,7839048,7091744,4533909,3912729,621180,969659,459102,510557,429545,254384,175161,9427224,3467217,5960007,796866,307188,489678
Rural,INDIA,Sikh,5-9,1256155,695155,561000,11433,7148,4285,11627,6382,5245,3561,2024,1537,1233095,681625,551470,12062,6810,5252
Rural,INDIA,Sikh,10-14,1416188,794583,621605,34084,25345,8739,32931,18253,14678,11877,7105,4772,1349173,750985,598188,32464,19022,13442
Rural,INDIA,Sikh,15-19,1554141,860367,693774,222692,190889,31803,109706,65302,44404,60422,40156,20266,1221743,604176,617567,214804,123085,91719
Rural,INDIA,Sikh,20-24,1459120,756203,702917,516668,450087,66581,144074,79447,64627,81421,53082,28339,798378,226669,571709,207945,90719,117226
Rural,INDIA,Sikh,25-29,1233899,627823,606076,582236,503035,79201,120806,58611,62195,60856,36751,24105,530857,66177,464680,105842,27718,78124
Rural,INDIA,Sikh,30-34,1083488,544896,538592,547745,468301,79444,105373,43993,61380,48237,26180,22057,430370,32602,397768,58487,9765,48722
Rural,INDIA,Sikh,35-39,1033622,518486,515136,536499,455292,81207,98857,38502,60355,42892,22195,20697,398266,24692,373574,44974,5895,39079
Rural,INDIA,Sikh,40-49,1805569,914604,890965,943378,808304,135074,157021,60650,96371,61491,32615,28876,705170,45650,659520,59659,8413,51246
Rural,INDIA,Sikh,50-59,1167506,601346,566160,584361,512359,72002,87790,36053,51737,29582,16509,13073,495355,52934,442421,28248,5213,23035
Rural,INDIA,Sikh,60-69,1032640,513730,518910,384478,339614,44864,70375,33773,36602,21354,12584,8770,577787,140343,437444,23272,6778,16494
Rural,INDIA,Sikh,70-79,480247,255270,224977,124679,112748,11931,21685,13063,8622,5343,3655,1688,333883,129459,204424,6167,2585,3582
Rural,INDIA,Sikh,80+,250558,126188,124370,37157,32684,4473,6906,3961,2945,1568,988,580,206495,89543,116952,1971,782,1189
Rural,INDIA,Sikh,Age not stated,32246,17049,15197,8499,6923,1576,2508,1112,1396,941,540,401,21239,9014,12225,971,403,568
Rural,INDIA,Sikh,15-59,9337345,4823725,4513620,3933579,3388267,545312,823627,382558,441069,384901,227488,157413,4580139,1052900,3527239,719959,270808,449151
Rural,INDIA,Sikh,60+,1763445,895188,868257,546314,485046,61268,98966,50797,48169,28265,17227,11038,1118165,359345,758820,31410,10145,21265
Rural,INDIA,Buddhist,Total,4814849,2457022,2357827,1868660,1135278,733382,475284,212910,262374,228955,123675,105280,2470905,1108834,1362071,184949,86216,98733
Rural,INDIA,Buddhist,5-9,448418,230738,217680,6080,3161,2919,3867,2014,1853,658,351,307,438471,225563,212908,3205,1639,1566
Rural,INDIA,Buddhist,10-14,506625,261553,245072,15014,8324,6690,12817,6357,6460,2901,1576,1325,478794,246872,231922,7280,3772,3508
Rural,INDIA,Buddhist,15-19,481908,255376,226532,86193,52496,33697,40217,21063,19154,20229,11976,8253,355498,181817,173681,49302,27396,21906
Rural,INDIA,Buddhist,20-24,460808,241419,219389,204027,124912,79115,66991,33590,33401,40282,23806,16476,189790,82917,106873,55196,28919,26277
Rural,INDIA,Buddhist,25-29,404762,208882,195880,241319,150047,91272,63595,29548,34047,36922,20634,16288,99848,29287,70561,29406,12615,16791
Rural,INDIA,Buddhist,30-34,346040,176206,169834,233004,142100,90904,53139,22755,30384,29388,15429,13959,59897,11351,48546,13251,4200,9051
Rural,INDIA,Buddhist,35-39,332202,168381,163821,235323,141046,94277,49707,20688,29019,26282,13438,12844,47172,6647,40525,8372,1999,6373
Rural,INDIA,Buddhist,40-49,528773,273009,255764,382910,232595,150315,75921,30738,45183,36485,18366,18119,69942,9676,60266,8695,2175,6520
Rural,INDIA,Buddhist,50-59,354662,177918,176744,239622,145689,93933,50400,19891,30509,19692,9812,9880,64640,12338,52302,4523,1363,3160
Rural,INDIA,Buddhist,60-69,314115,141373,172742,158956,90924,68032,40105,16491,23614,11882,5835,6047,115054,33958,81096,3719,1293,2426
Rural,INDIA,Buddhist,70-79,156828,76216,80612,50842,34107,16735,14139,7452,6687,3005,1755,1250,91847,34657,57190,1344,530,814
Rural,INDIA,Buddhist,80+,50877,24215,26662,10157,6747,3410,3037,1695,1342,605,369,236,37683,15773,21910,373,165,208
Rural,INDIA,Buddhist,Age not stated,13821,7324,6497,5213,3130,2083,1349,628,721,624,328,296,7259,3566,3693,283,150,133
Rural,INDIA,Buddhist,15-59,2909155,1501191,1407964,1622398,988885,633513,399970,178273,221697,209280,113461,95819,886787,334033,552754,168745,78667,90078
Rural,INDIA,Buddhist,60+,521820,241804,280016,219955,131778,88177,57281,25638,31643,15492,7959,7533,244584,84388,160196,5436,1988,3448
Rural,INDIA,Jain,Total,904809,467577,437232,306551,250585,55966,49659,19677,29982,13368,8156,5212,548599,197315,351284,33601,14492,19109
Rural,INDIA,Jain,5-9,68020,36516,31504,527,316,211,478,252,226,66,37,29,67015,35948,31067,352,179,173
Rural,INDIA,Jain,10-14,76766,41157,35609,1087,708,379,1174,631,543,198,112,86,74505,39818,34687,797,426,371
Rural,INDIA,Jain,15-19,79315,42448,36867,6617,5180,1437,3587,1995,1592,1252,815,437,69111,35273,33838,7022,4055,2967
Rural,INDIA,Jain,20-24,82129,43040,39089,25467,20748,4719,6638,3336,3302,2855,1893,962,50024,18956,31068,11411,5902,5509
Rural,INDIA,Jain,25-29,74489,39246,35243,37264,31106,6158,6291,2867,3424,2322,1556,766,30934,5273,25661,5416,2179,3237
Rural,INDIA,Jain,30-34,66407,34286,32121,36920,30335,6585,5416,2008,3408,1667,1029,638,24071,1943,22128,2608,627,1981
Rural,INDIA,Jain,35-39,65757,32867,32890,37800,29952,7848,5377,1659,3718,1372,754,618,22580,1256,21324,1775,273,1502
Rural,INDIA,Jain,40-49,119286,61530,57756,70690,56751,13939,8752,2644,6108,1933,1085,848,39844,2135,37709,2205,329,1876
Rural,INDIA,Jain,50-59,86831,44664,42167,48476,40233,8243,5858,1736,4122,1015,515,500,32497,2695,29802,1045,198,847
Rural,INDIA,Jain,60-69,67171,32147,35024,27922,23322,4600,3960,1452,2508,473,229,244,35289,7373,27916,619,183,436
Rural,INDIA,Jain,70-79,38189,18328,19861,10516,9195,1321,1566,812,754,132,78,54,26107,8321,17786,186,74,112
Rural,INDIA,Jain,80+,15463,6876,8587,2355,2001,354,399,223,176,42,27,15,12709,4652,8057,90,38,52
Rural,INDIA,Jain,Age not stated,2955,1511,1444,910,738,172,163,62,101,41,26,15,1882,711,1171,75,29,46
Rural,INDIA,Jain,15-59,574214,298081,276133,263234,214305,48929,41919,16245,25674,12416,7647,4769,269061,67531,201530,31482,13563,17919
Rural,INDIA,Jain,60+,120823,57351,63472,40793,34518,6275,5925,2487,3438,647,334,313,74105,20346,53759,895,295,600
Rural,INDIA,Other religious communities,Total,7199007,3583894,3615113,1796148,1148919,647229,1790302,781220,1009082,1023370,518026,505344,3612557,1653755,1958802,271381,114407,156974
Rural,INDIA,Other religious communities,5-9,901447,456831,444616,7218,3756,3462,20204,9730,10474,2893,1429,1464,874025,443345,430680,8326,4262,4064
Rural,INDIA,Other religious communities,10-14,888511,450922,437589,22784,12568,10216,83515,39709,43806,21891,10832,11059,782212,398645,383567,21787,11200,10587
Rural,INDIA,Other religious communities,15-19,712216,365031,347185,103750,60533,43217,203993,98477,105516,120050,63076,56974,404473,206021,198452,83706,44760,38946
Rural,INDIA,Other religious communities,20-24,615617,298031,317586,193785,116647,77138,254206,112879,141327,168363,85995,82368,167626,68505,99121,61263,29078,32185
Rural,INDIA,Other religious communities,25-29,555543,276333,279210,232516,149247,83269,235073,104371,130702,153977,79810,74167,87954,22715,65239,31629,11314,20315
Rural,INDIA,Other religious communities,30-34,471927,230464,241463,220780,140327,80453,195019,81101,113918,124911,61798,63113,56128,9036,47092,16762,3994,12768
Rural,INDIA,Other religious communities,35-39,467090,230566,236524,231603,148165,83438,187740,76794,110946,117986,57409,60577,47747,5607,42140,12759,2194,10565
Rural,INDIA,Other religious communities,40-49,771893,387778,384115,394636,256582,138054,299904,122365,177539,177498,86941,90557,77353,8831,68522,16111,2550,13561
Rural,INDIA,Other religious communities,50-59,490015,243116,246899,235527,157070,78457,179221,74316,104905,89392,45375,44017,75267,11730,63537,9337,1880,7457
Rural,INDIA,Other religious communities,60-69,350847,161587,189260,117388,78973,38415,101911,46362,55549,37289,20164,17125,131548,36252,95296,7116,2206,4910
Rural,INDIA,Other religious communities,70-79,121763,54899,66864,26722,18827,7895,21587,11186,10401,6015,3504,2511,73454,24886,48568,1822,668,1154
Rural,INDIA,Other religious communities,80+,37355,16967,20388,6308,4248,2060,5127,2661,2466,1739,980,759,25920,10058,15862,422,157,265
Rural,INDIA,Other religious communities,Age not stated,13970,7041,6929,3131,1976,1155,2802,1269,1533,1366,713,653,8037,3796,4241,341,144,197
Rural,INDIA,Other religious communities,15-59,4084301,2031319,2052982,1612597,1028571,584026,1555156,670303,884853,952177,480404,471773,916548,332445,584103,231567,95770,135797
Rural,INDIA,Other religious communities,60+,509965,233453,276512,150418,102048,48370,128625,60209,68416,45043,24648,20395,230922,71196,159726,9360,3031,6329
Urban,INDIA,All religious communities,Total,377106125,195489200,181616925,116697150,95114646,21582504,16448626,9988216,6460410,7144284,4738898,2405386,243960349,90386338,153574011,22455391,9299459,13155932
Urban,INDIA,All religious communities,5-9,33120514,17475207,15645307,300994,178533,122461,346665,184832,161833,94748,51914,42834,32472855,17111842,15361013,315037,169967,145070
Urban,INDIA,All religious communities,10-14,35904718,18930677,16974041,783243,542905,240338,595420,332586,262834,204183,121794,82389,34526055,18055186,16470869,768998,437177,331821
Urban,INDIA,All religious communities,15-19,36623977,19411839,17212138,4437778,3508634,929144,1553532,993192,560340,820095,555651,264444,30632667,14910013,15722654,4822869,2713656,2109213
Urban,INDIA,All religious communities,20-24,37589176,19446031,18143145,11693916,9518223,2175693,2385846,1556485,829361,1346795,929008,417787,23509414,8371323,15138091,6340794,3130005,3210789
Urban,INDIA,All religious communities,25-29,35345695,17968219,17377476,16625939,13565241,3060698,2300646,1452110,848536,1187421,801974,385447,16419110,2950868,13468242,3918645,1391814,2526831
Urban,INDIA,All religious communities,30-34,30683172,15726482,14956690,16377748,13392909,2984839,1926864,1155540,771324,896383,587943,308440,12378560,1178033,11200527,2071106,497096,1574010
Urban,INDIA,All religious communities,35-39,29077977,14793820,14284157,16181917,13025828,3156089,1813213,1035479,777734,796501,504618,291883,11082847,732513,10350334,1507859,253732,1254127
Urban,INDIA,All religious communities,40-49,46487203,24253995,22233208,26441078,21558287,4882791,2676131,1548155,1127976,1020547,665213,355334,17369994,1147553,16222441,1541870,274499,1267371
Urban,INDIA,All religious communities,50-59,30322007,15973202,14348805,15969816,13306733,2663083,1523794,904193,619601,453868,303215,150653,12828397,1762276,11066121,620901,178995,441906
Urban,INDIA,All religious communities,60-69,18911175,9506172,9405003,5529889,4568964,960925,863398,531997,331401,215689,145881,69808,12517888,4405211,8112677,373316,171347,201969
Urban,INDIA,All religious communities,70-79,8250028,4050499,4199529,1461077,1220713,240364,269205,174718,94487,52449,35858,16591,6519746,2655068,3864678,89477,41802,47675
Urban,INDIA,All religious communities,80+,3394015,1517899,1876116,476616,388888,87728,96531,59350,37181,23204,14836,8368,2820868,1069661,1751207,40361,17019,23342
Urban,INDIA,All religious communities,Age not stated,1576350,839461,736889,417139,338788,78351,97381,59579,37802,32401,20993,11408,1061830,441094,620736,44158,22350,21808
Urban,INDIA,All religious communities,15-59,246129207,127573588,118555619,107728192,87875855,19852337,14180026,8645154,5534872,6521610,4347622,2173988,124220989,31052579,93168410,20824044,8439797,12384247
Urban,INDIA,All religious communities,60+,30555218,15074570,15480648,7467582,6178565,1289017,1229134,766065,463069,291342,196575,94767,21858502,8129940,13728562,503154,230168,272986
Urban,INDIA,Hindu,Total,282163402,146883321,135280081,90016347,72895001,17121346,12138664,7273145,4865519,5269142,3447882,1821260,180008391,66715175,113293216,16913227,6954344,9958883
Urban,INDIA,Hindu,5-9,23612998,12543265,11069733,210565,125025,85540,243478,130173,113305,65798,35987,29811,23158955,12288067,10870888,216629,116974,99655
Urban,INDIA,Hindu,10-14,25837186,13703606,12133580,516569,351901,164668,402730,223548,179182,136998,80502,56496,24917887,13128157,11789730,519760,292345,227415
Urban,INDIA,Hindu,15-19,26458600,14152841,12305759,2988924,2331704,657220,1050612,668807,381805,560995,377162,183833,22419064,11152330,11266734,3460991,1953172,1507819
Urban,INDIA,Hindu,20-24,27792527,14424461,13368066,8587605,6907724,1679881,1713032,1106355,606677,978298,668097,310201,17491890,6410382,11081508,4822656,2393009,2429647
Urban,INDIA,Hindu,25-29,26825878,13683294,13142584,12800738,10357070,2443668,1711123,1068559,642564,888192,593880,294312,12314017,2257665,10056352,3025784,1082524,1943260
Urban,INDIA,Hindu,30-34,23539096,12111156,11427940,12759460,10363477,2395983,1450746,858247,592499,677569,438360,239209,9328890,889432,8439458,1605513,384960,1220553
Urban,INDIA,Hindu,35-39,22395595,11432086,10963509,12651860,10111599,2540261,1372675,771227,601448,605324,377040,228284,8371060,549260,7821800,1169624,194105,975519
Urban,INDIA,Hindu,40-49,36096240,18885653,17210587,20792780,16865587,3927193,2031278,1155544,875734,773384,494818,278566,13272182,864522,12407660,1197662,209220,988442
Urban,INDIA,Hindu,50-59,23681549,12544877,11136672,12665368,10525852,2139516,1160051,676482,483569,342174,223787,118387,9856130,1342543,8513587,476208,134729,341479
Urban,INDIA,Hindu,60-69,14606728,7352434,7254294,4237903,3470306,767597,655951,396334,259617,160824,106372,54452,9712874,3485794,6227080,285896,132151,153745
Urban,INDIA,Hindu,70-79,6424815,3159156,3265659,1127495,936453,191042,205983,132244,73739,39145,26268,12877,5091337,2090459,3000878,68337,31811,36526
Urban,INDIA,Hindu,80+,2623049,1174520,1448529,366690,298068,68622,72570,44289,28281,17127,10784,6343,2183789,832163,1351626,31273,13045,18228
Urban,INDIA,Hindu,Age not stated,1114601,590894,523707,310390,250235,60155,68435,41336,27099,23314,14825,8489,735776,299323,436453,32894,16299,16595
Urban,INDIA,Hindu,15-59,186789485,97234368,89555117,83246735,67463013,15783722,10489517,6305221,4184296,4825936,3173144,1652792,93053233,23466134,69587099,15758438,6351719,9406719
Urban,INDIA,Hindu,60+,23654592,11686110,11968482,5732088,4704827,1027261,934504,572867,361637,217096,143424,73672,16988000,6408416,10579584,385506,177007,208499
Urban,INDIA,Muslim,Total,68740419,35403944,33336475,18301316,15860541,2440775,3238505,2111655,1126850,1436562,1028255,408307,47200598,17431748,29768850,3923054,1683235,2239819
Urban,INDIA,Muslim,5-9,7502133,3876288,3625845,71842,42755,29087,78393,41530,36863,22601,12504,10097,7351898,3792003,3559895,78278,42419,35859
Urban,INDIA,Muslim,10-14,7808187,4040295,3767892,227848,165845,62003,153363,87887,65476,55535,34722,20813,7426976,3786563,3640413,207217,121974,85243
Urban,INDIA,Muslim,15-19,7803214,4030237,3772977,1249784,1031812,217972,416996,273620,143376,214834,151298,63536,6136434,2724805,3411629,1053967,590684,463283
